,Presion,Temperatura,Peso,Flujo,H2,Hidrogeno
0,0.973777777,0.8420449780000002,0.99302422,0.9010532609999999,8.74954979000026e-05,0.206504375
1,0.9917993540000001,0.9488573290000002,0.650953072,0.9035034959999999,0.00030617824100000093,0.04045243600000001
2,0.9917993540000001,0.9488573290000002,0.650953072,0.791433192,0.00030617824100000093,0.04045243600000001
3,0.997347623,0.9874768430000002,0.807641187,0.8024595299999999,0.00040887500599999776,0.38145215600000004
4,0.992266475,0.936984164,0.9740211280000001,0.657945828,8.291880010000224e-05,0.4962753350000001
5,0.9974975789999999,0.8456953740000002,0.759692723,0.696699761,0.0003050894920000027,0.07350825849999998
6,0.976794441,0.8874868430000002,0.999119362,0.655412389,7.882401339999794e-05,0.91589647
7,0.976590237,0.9443450600000001,0.9985544160000001,0.657885977,3.4883084499998745e-05,0.4962753350000001
8,0.980743788,0.8470799239999999,0.789769028,0.696245449,5.5525129200000736e-05,0.009921358959999986
9,0.999870126,0.9779474220000003,0.758395223,0.444429123,0.0002992723600000004,0.983106233
10,0.9924703850000001,0.8857854170000001,0.9742875489999999,0.6554722409999999,8.767697109999753e-05,0.91589647
11,0.9917993540000001,0.9451678080000001,0.897635816,0.973523168,0.0001574435069999991,0.65924707
12,0.973777777,0.844727683,0.986929833,0.604457211,4.8013111599997e-05,0.985490437
13,0.998888718,0.9868776530000002,0.807641187,0.815884401,0.00010330600500000055,0.912666739
14,0.922103711,0.9814701899999999,0.786602788,0.696245449,5.52770978000024e-05,0.009921358959999986
15,0.9905006160000001,0.9488573290000002,0.650953072,0.791433192,0.00030617824100000093,0.04045243600000001
16,0.9972593849999999,0.875711523,0.76448018,0.727964484,0.000361720179000001,0.132360558
17,0.877117969,0.6498286560000002,0.9628926369999999,0.27286038200000007,6.685460090000184e-05,0.9563202900000001
18,0.9923947190000001,0.8418373380000002,0.9949189479999999,0.8963357129999999,5.0792567800002366e-05,0.65777943
19,0.9917993540000001,0.9451678080000001,0.897635816,0.98956871,0.00016043491899999935,0.672449754
20,0.9878699329999999,0.9868776530000002,0.807641187,0.815884401,8.704953879999987e-05,0.913184443
21,0.985091206,0.8498197620000001,0.9233186050000001,0.717667372,0.00041513655099999973,0.960922758
22,0.998888718,0.9868776530000002,0.835375878,0.815884401,0.00010330600500000055,0.912666739
23,0.949669984,0.8454003069999999,0.687187074,0.4504610949999999,0.0001136650599999986,0.998628574
